sim,auroc,auprc
337,0.649844856,0.170129663
338,0.645734186,0.164555829
339,0.640529394,0.160046371
340,0.649863266,0.16797869
341,0.651081855,0.166029696
342,0.643816905,0.160622127
343,0.654297354,0.174789477
344,0.643802826,0.163676297
345,0.641667069,0.163379385
346,0.644132269,0.160309271
347,0.643853714,0.167999743
348,0.647798104,0.166856768
349,0.644480724,0.16893403
350,0.64526446,0.164692441
351,0.640511948,0.160540799
352,0.653277657,0.172079094
353,0.645179434,0.164590724
354,0.64926067,0.166725046
355,0.649383305,0.172233928
356,0.651187636,0.173361704
357,0.64023301,0.164195454
358,0.649580336,0.165826986
359,0.648953507,0.169095687
360,0.647653616,0.168080013
361,0.644275311,0.168735386
362,0.642846885,0.164181153
363,0.643914842,0.16450039
364,0.645021167,0.165974606
365,0.644390686,0.16570875
366,0.647647003,0.165299496
367,0.651936851,0.169131778
368,0.650144313,0.16669839
369,0.640788345,0.164085003
370,0.649663937,0.170125655
371,0.64436011,0.164509641
372,0.643772742,0.169107118
373,0.643571727,0.16621453
374,0.649023521,0.169786697
375,0.655343808,0.172543767
376,0.645746769,0.166877388
377,0.641457457,0.164849791
378,0.647815159,0.167053015
379,0.651891062,0.171020231
380,0.64513252,0.162700402
381,0.645210445,0.16326286
382,0.644233873,0.167383324
383,0.650705533,0.167636185
384,0.640979296,0.164758587
385,0.640721658,0.16604731
386,0.643832564,0.162781277
387,0.643532624,0.167893712
388,0.650005545,0.170058466
389,0.638997871,0.162596211
390,0.649183355,0.171291677
391,0.647308218,0.164523719
392,0.647673945,0.165963235
393,0.64799007,0.168435198
394,0.647528029,0.170895286
395,0.642174755,0.161703977
396,0.650534344,0.171881382
397,0.640497072,0.163108883
398,0.643665447,0.164899227
399,0.641783806,0.159523369
400,0.648826252,0.172210226
401,0.643847501,0.165653938
402,0.641379707,0.159915516
403,0.648525284,0.162256659
404,0.643100332,0.164577548
405,0.646143776,0.166524993
406,0.639099432,0.158237081
407,0.644927993,0.162848542
408,0.64663028,0.169774288
409,0.649206661,0.169164659
410,0.64466543,0.166813688
411,0.644766563,0.167370135
412,0.644447104,0.166611877
413,0.646906142,0.166109197
414,0.650872263,0.169572309
415,0.647908041,0.163720433
416,0.645273259,0.165642185
417,0.645984159,0.170687228
418,0.645107831,0.168759459
419,0.649679896,0.173563998
420,0.649491819,0.167138292
421,0.651356289,0.166332521
422,0.637921139,0.165283985
423,0.644488905,0.166545371
424,0.643102483,0.16101156
425,0.645085516,0.166237435
426,0.642855022,0.166842293
427,0.64949362,0.168813181
428,0.655144148,0.167587237
429,0.644102116,0.167390182
430,0.649099675,0.166433421
431,0.648834235,0.165629413
432,0.645363964,0.166495633
433,0.649743125,0.169796241
434,0.644898517,0.163649514
435,0.641424187,0.163905996
436,0.645974732,0.170214975
437,0.648540213,0.176775167
438,0.650927791,0.16584592
439,0.643287899,0.165127787
440,0.644548567,0.169184154
441,0.645339668,0.160448043
442,0.648226824,0.168291788
443,0.643882004,0.16792945
444,0.644977535,0.168000399
445,0.640916973,0.160394514
446,0.649447662,0.169786384
447,0.641432326,0.162152179
448,0.64129203,0.163149026
449,0.639750638,0.158588857
450,0.645236745,0.163988129
451,0.654068916,0.173020678
452,0.642763605,0.165997507
453,0.645933849,0.168738895
454,0.641807244,0.162982595
455,0.645525517,0.161993531
456,0.646719373,0.166690179
457,0.651771198,0.16851153
458,0.647398564,0.172223546
459,0.645379586,0.164857737
460,0.649933941,0.169835079
461,0.645397019,0.166508943
462,0.64430513,0.165995925
463,0.640047414,0.160621362
464,0.641983674,0.163847117
465,0.64331777,0.163120395
466,0.645072315,0.168972359
467,0.651046442,0.168475475
468,0.649594488,0.16617975
469,0.647373902,0.17087988
470,0.646963222,0.167395002
471,0.648677925,0.166555157
472,0.643825839,0.166585479
473,0.644240491,0.15899001
