prevalence,pop_auroc,auprc
0.01,0.5349,0.011251985
0.01,0.53495,0.011254015
0.01,0.535,0.011256046
0.01,0.53505,0.011258078
0.01,0.5351,0.01126011
0.01,0.53515,0.011262143
0.01,0.5352,0.011264177
0.01,0.53525,0.011266212
0.01,0.5353,0.011268247
0.01,0.53535,0.011270283
0.01,0.5354,0.01127232
0.01,0.53545,0.011274358
0.01,0.5355,0.011276396
0.01,0.53555,0.011278435
0.01,0.5356,0.011280475
0.01,0.53565,0.011282516
0.01,0.5357,0.011284558
0.01,0.53575,0.0112866
0.01,0.5358,0.011288643
0.01,0.53585,0.011290686
0.01,0.5359,0.011292731
0.01,0.53595,0.011294776
0.01,0.536,0.011296822
0.01,0.53605,0.011298869
0.01,0.5361,0.011300917
0.01,0.53615,0.011302965
0.01,0.5362,0.011305014
0.01,0.53625,0.011307064
0.01,0.5363,0.011309114
0.01,0.53635,0.011311166
0.01,0.5364,0.011313218
0.01,0.53645,0.011315271
0.01,0.5365,0.011317324
0.01,0.53655,0.011319379
0.01,0.5366,0.011321434
0.01,0.53665,0.01132349
0.01,0.5367,0.011325546
0.01,0.53675,0.011327604
0.01,0.5368,0.011329662
0.01,0.53685,0.011331721
0.01,0.5369,0.011333781
0.01,0.53695,0.011335841
0.01,0.537,0.011337903
0.01,0.53705,0.011339965
0.01,0.5371,0.011342027
0.01,0.53715,0.011344091
0.01,0.5372,0.011346155
0.01,0.53725,0.011348221
0.01,0.5373,0.011350286
0.01,0.53735,0.011352353
0.01,0.5374,0.011354421
0.01,0.53745,0.011356489
0.01,0.5375,0.011358558
0.01,0.53755,0.011360627
0.01,0.5376,0.011362698
0.01,0.53765,0.011364769
0.01,0.5377,0.011366841
0.01,0.53775,0.011368914
0.01,0.5378,0.011370988
0.01,0.53785,0.011373062
0.01,0.5379,0.011375137
0.01,0.53795,0.011377213
0.01,0.538,0.01137929
0.01,0.53805,0.011381367
0.01,0.5381,0.011383446
0.01,0.53815,0.011385525
0.01,0.5382,0.011387604
0.01,0.53825,0.011389685
0.01,0.5383,0.011391766
0.01,0.53835,0.011393848
0.01,0.5384,0.011395931
0.01,0.53845,0.011398015
0.01,0.5385,0.0114001
0.01,0.53855,0.011402185
0.01,0.5386,0.011404271
0.01,0.53865,0.011406358
0.01,0.5387,0.011408445
0.01,0.53875,0.011410534
0.01,0.5388,0.011412623
0.01,0.53885,0.011414713
0.01,0.5389,0.011416803
0.01,0.53895,0.011418895
0.01,0.539,0.011420987
0.01,0.53905,0.01142308
0.01,0.5391,0.011425174
0.01,0.53915,0.011427269
0.01,0.5392,0.011429364
0.01,0.53925,0.01143146
0.01,0.5393,0.011433557
0.01,0.53935,0.011435655
0.01,0.5394,0.011437753
0.01,0.53945,0.011439853
0.01,0.5395,0.011441953
0.01,0.53955,0.011444054
0.01,0.5396,0.011446155
0.01,0.53965,0.011448258
0.01,0.5397,0.011450361
0.01,0.53975,0.011452465
0.01,0.5398,0.01145457
0.01,0.53985,0.011456676
0.01,0.5399,0.011458782
0.01,0.53995,0.011460889
0.01,0.54,0.011462997
0.01,0.54005,0.011465106
0.01,0.5401,0.011467215
0.01,0.54015,0.011469326
0.01,0.5402,0.011471437
0.01,0.54025,0.011473549
0.01,0.5403,0.011475662
0.01,0.54035,0.011477775
0.01,0.5404,0.011479889
0.01,0.54045,0.011482005
0.01,0.5405,0.01148412
0.01,0.54055,0.011486237
0.01,0.5406,0.011488355
0.01,0.54065,0.011490473
0.01,0.5407,0.011492592
0.01,0.54075,0.011494712
0.01,0.5408,0.011496832
0.01,0.54085,0.011498954
0.01,0.5409,0.011501076
0.01,0.54095,0.011503199
0.01,0.541,0.011505323
0.01,0.54105,0.011507448
0.01,0.5411,0.011509573
0.01,0.54115,0.011511699
0.01,0.5412,0.011513826
0.01,0.54125,0.011515954
0.01,0.5413,0.011518083
0.01,0.54135,0.011520212
0.01,0.5414,0.011522343
0.01,0.54145,0.011524474
0.01,0.5415,0.011526605
0.01,0.54155,0.011528738
0.01,0.5416,0.011530872
0.01,0.54165,0.011533006
0.01,0.5417,0.011535141
0.01,0.54175,0.011537277
0.01,0.5418,0.011539413
0.01,0.54185,0.011541551
0.01,0.5419,0.011543689
0.01,0.54195,0.011545828
0.01,0.542,0.011547968
0.01,0.54205,0.011550109
0.01,0.5421,0.01155225
0.01,0.54215,0.011554392
0.01,0.5422,0.011556536
0.01,0.54225,0.011558679
0.01,0.5423,0.011560824
0.01,0.54235,0.01156297
0.01,0.5424,0.011565116
0.01,0.54245,0.011567263
0.01,0.5425,0.011569411
0.01,0.54255,0.01157156
0.01,0.5426,0.011573709
0.01,0.54265,0.01157586
0.01,0.5427,0.011578011
0.01,0.54275,0.011580163
0.01,0.5428,0.011582316
0.01,0.54285,0.011584469
0.01,0.5429,0.011586624
0.01,0.54295,0.011588779
0.01,0.543,0.011590935
0.01,0.54305,0.011593092
0.01,0.5431,0.01159525
0.01,0.54315,0.011597408
0.01,0.5432,0.011599567
0.01,0.54325,0.011601727
0.01,0.5433,0.011603888
0.01,0.54335,0.01160605
0.01,0.5434,0.011608213
0.01,0.54345,0.011610376
0.01,0.5435,0.01161254
0.01,0.54355,0.011614705
0.01,0.5436,0.011616871
0.01,0.54365,0.011619038
0.01,0.5437,0.011621205
0.01,0.54375,0.011623374
0.01,0.5438,0.011625543
0.01,0.54385,0.011627713
0.01,0.5439,0.011629883
0.01,0.54395,0.011632055
0.01,0.544,0.011634227
0.01,0.54405,0.0116364
0.01,0.5441,0.011638574
0.01,0.54415,0.011640749
0.01,0.5442,0.011642925
0.01,0.54425,0.011645101
0.01,0.5443,0.011647279
0.01,0.54435,0.011649457
0.01,0.5444,0.011651636
0.01,0.54445,0.011653816
0.01,0.5445,0.011655996
0.01,0.54455,0.011658178
0.01,0.5446,0.01166036
0.01,0.54465,0.011662543
0.01,0.5447,0.011664727
0.01,0.54475,0.011666912
0.01,0.5448,0.011669097
0.01,0.54485,0.011671284
0.01,0.5449,0.011673471
0.01,0.54495,0.011675659
0.01,0.545,0.011677848
0.01,0.54505,0.011680038
0.01,0.5451,0.011682228
0.01,0.54515,0.011684419
0.01,0.5452,0.011686612
0.01,0.54525,0.011688805
0.01,0.5453,0.011690999
0.01,0.54535,0.011693193
0.01,0.5454,0.011695389
0.01,0.54545,0.011697585
0.01,0.5455,0.011699782
0.01,0.54555,0.01170198
0.01,0.5456,0.011704179
0.01,0.54565,0.011706379
0.01,0.5457,0.011708579
0.01,0.54575,0.011710781
0.01,0.5458,0.011712983
0.01,0.54585,0.011715186
0.01,0.5459,0.01171739
0.01,0.54595,0.011719595
0.01,0.546,0.0117218
0.01,0.54605,0.011724006
0.01,0.5461,0.011726214
0.01,0.54615,0.011728422
0.01,0.5462,0.011730631
0.01,0.54625,0.01173284
0.01,0.5463,0.011735051
0.01,0.54635,0.011737262
0.01,0.5464,0.011739475
0.01,0.54645,0.011741688
0.01,0.5465,0.011743902
0.01,0.54655,0.011746116
