iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
94,TRUE,"0.09, 45",0.6366991970722635,0.6270395072404188,0.15101655141287748,"0.09, 45",0.1471349865340945,0.6270395072404188,0.15101655141287748
95,TRUE,"0.05, 34",0.638346048855603,0.6250156517444224,0.14779315488813183,"0.05, 34",0.18024720394931484,0.6250156517444224,0.14779315488813183
96,TRUE,"0.07, 32",0.6335864500629448,0.6311859882877722,0.15824812498468913,"0.07, 32",0.1464670018439366,0.6311859882877722,0.15824812498468913
97,FALSE,"0.17, 47",0.6215000649941506,0.6207553703727856,0.14975582223219758,"0.07, 79",0.1802716316428959,0.6284584570930006,0.15282678165050131
98,FALSE,"0.12, 47",0.6400693937545621,0.6287585541059533,0.15130665684421482,"0.17, 90",0.17111504168881797,0.6141940080870458,0.14751965393060354
99,FALSE,"0.13, 93",0.6183693467587917,0.6035134967089085,0.14435438593391992,"0.19, 41",0.1463409646391635,0.6139942870292523,0.14833831213139057
100,TRUE,"0.12, 52",0.6208076273135418,0.6233604547153379,0.15337667931394303,"0.12, 52",0.14856128480063893,0.6233604547153379,0.15337667931394303
101,FALSE,"0.15, 39",0.6192952634262916,0.6274450096785854,0.15308702338404542,"0.07, 145",0.15589528807166944,0.6224510614712957,0.1521161566618037
102,FALSE,"0.13, 107",0.5992290693837554,0.6092325564912192,0.14263162963597875,"0.19, 53",0.1428531305255133,0.6158064963168085,0.1449321488935328
103,FALSE,"0.08, 57",0.6177044066034056,0.6216063953797692,0.15295494792399011,"0.14, 112",0.15813698159634018,0.6026094965865869,0.14243786010293352
104,TRUE,"0.04, 119",0.6220825125738684,0.6214163250825065,0.15211216544651573,"0.04, 119",0.15606142162068243,0.6214163250825065,0.15211216544651573
105,FALSE,"0.14, 85",0.6239571473711136,0.6129910353742549,0.14733770269411148,"0.16, 102",0.1465732284805961,0.6087017914003707,0.1423512342243452
106,FALSE,"0.1, 80",0.6285844274015339,0.6228196078393973,0.15092907481216858,"0.1, 52",0.17028735373171094,0.6278962567124663,0.1543105279608843
107,TRUE,"0.11, 68",0.6581474664085344,0.6190590418212302,0.14617320941852105,"0.11, 68",0.15941980049162444,0.6190590418212302,0.14617320941852105
108,TRUE,"0.01, 136",0.6555789978901899,0.6296331454362233,0.15674606750290962,"0.01, 136",0.1731183107471839,0.6296331454362233,0.15674606750290962
109,TRUE,"0.11, 43",0.6077283044525993,0.6227489929583072,0.15711247448991958,"0.11, 43",0.1412833206398236,0.6227489929583072,0.15711247448991958
110,TRUE,"0.08, 96",0.5927326540611345,0.6170320250994533,0.1474561820041861,"0.08, 96",0.1381411034333699,0.6170320250994533,0.1474561820041861
111,FALSE,"0.09, 134",0.6237547210575168,0.6155885009792734,0.14445433490575163,"0.05, 138",0.1630309109899045,0.6255127010454986,0.15029974573944618
112,TRUE,"0.03, 48",0.6398414142727155,0.6293073594699581,0.15351303304870062,"0.03, 48",0.16392010685666628,0.6293073594699581,0.15351303304870062
113,TRUE,"0.07, 107",0.5903768660820526,0.6194010874485258,0.15021970420475642,"0.07, 107",0.1296676255744965,0.6194010874485258,0.15021970420475642
114,TRUE,"0.12, 31",0.6018133367996881,0.6280054599903289,0.15019444566072881,"0.12, 31",0.13749726011278618,0.6280054599903289,0.15019444566072881
115,TRUE,"0.02, 87",0.6680136350542522,0.6272263534386419,0.15371511944690067,"0.02, 87",0.17742510318205762,0.6272263534386419,0.15371511944690067
116,FALSE,"0.03, 36",0.6232073266760624,0.6220028020459014,0.15294807410815997,"0.11, 107",0.14473126808882816,0.6165940986209909,0.15141935273480472
117,TRUE,"0.01, 110",0.6376601105900469,0.6288423579851529,0.14893081666685876,"0.01, 110",0.15878520061510873,0.6288423579851529,0.14893081666685876
118,FALSE,"0.06, 42",0.603435190832825,0.625474971521994,0.14962477359460907,"0.16, 68",0.14256222101504468,0.6119337345829047,0.14318687941048852
119,FALSE,"0.03, 49",0.6536441720245177,0.6239196311642854,0.15074307469393383,"0.01, 76",0.17067982522602157,0.6253282636234152,0.15179414088205653
120,TRUE,"0.07, 27",0.616398024177824,0.6320636263650097,0.16136656347995496,"0.07, 27",0.14821007638866426,0.6320636263650097,0.16136656347995496
121,TRUE,"0.04, 131",0.6260891519763221,0.6333844161140683,0.15384829915846732,"0.04, 131",0.1443027175707833,0.6333844161140683,0.15384829915846732
122,TRUE,"0.06, 76",0.6083062524372806,0.6255384777033647,0.15363097165505132,"0.06, 76",0.13345086455557198,0.6255384777033647,0.15363097165505132
123,TRUE,"0.02, 77",0.6091624523893352,0.6221656729635371,0.15437620369776553,"0.02, 77",0.15297145055296663,0.6221656729635371,0.15437620369776553
124,TRUE,"0.08, 26",0.6118039376456119,0.6287288575986196,0.15715159402549203,"0.08, 26",0.15402257511482287,0.6287288575986196,0.15715159402549203
125,FALSE,"0.04, 33",0.6096411322980931,0.6294078577609888,0.15482028040452547,"0.21, 45",0.1489455432195675,0.6174210514164586,0.14797804010211024
126,FALSE,"0.04, 80",0.6420907118359348,0.6253324527429026,0.14768334100306746,"0.05, 133",0.1687241715386812,0.6250827839568853,0.14846491167519746
127,TRUE,"0.12, 31",0.6093211610955014,0.6253994737459396,0.1447794531079352,"0.12, 31",0.13905384796330528,0.6253994737459396,0.1447794531079352
128,FALSE,"0.15, 40",0.6076636166501296,0.6270690722272607,0.1565615644099933,"0.27, 112",0.12513419479387997,0.5997841023496772,0.13956047096775373
129,FALSE,"0.02, 62",0.6429616334529892,0.6202530430730485,0.15529748281460998,"0.07, 88",0.17600568461771768,0.6216288628402818,0.15367789440634302
130,TRUE,"0.1, 51",0.6385755282024618,0.6212473999812297,0.15214124775897342,"0.1, 51",0.18513218242759674,0.6212473999812297,0.15214124775897342
131,TRUE,"0.12, 78",0.6416752492275696,0.6132024584993904,0.14471027666791897,"0.12, 78",0.1666044645679682,0.6132024584993904,0.14471027666791897
132,TRUE,"0.06, 52",0.5953144217020468,0.6182981845106431,0.14474660085384256,"0.06, 52",0.13721404216577449,0.6182981845106431,0.14474660085384256
133,FALSE,"0.08, 30",0.6147956683898449,0.6272531791696141,0.15089657073419194,"0.08, 61",0.1526074096300714,0.6217511879390075,0.15104548610808538
134,TRUE,"0.13, 58",0.6223729864312212,0.6189935215556797,0.14891628484157976,"0.13, 58",0.1476303926383015,0.6189935215556797,0.14891628484157976
135,TRUE,"0.04, 70",0.6104880560749533,0.6221008914722692,0.15613398063181974,"0.04, 70",0.14856945380433234,0.6221008914722692,0.15613398063181974
